,nb,nb2,value
0,bmw,acura,1.241065973147002146359805104
1,bmw,audi,1.725317264821788073272094037
2,bmw,infiniti,1.498382027703410545920148993
3,bmw,honda,1.156894303011228024997794453
4,bmw,toyota,1.409895647661617450697897133
5,bmw,nissan,1.010413812769431196148706451
6,bmw,lexus,1.670032905153304971569396831
7,acura,audi,2.132659928000179913053557002
8,acura,infiniti,2.161170661003808945966899248
9,acura,honda,2.851042851254135051774887471
10,acura,toyota,1.424440115596131891008314199
11,acura,nissan,1.394844344273841386110719820
12,acura,lexus,2.289744479130535322002543647
13,audi,infiniti,2.041625430039115886705311278
14,audi,honda,1.534233443675045106880862808
15,audi,toyota,1.750541248933515415025839032
16,audi,nissan,1.109584575577091553647952081
17,audi,lexus,2.677006861876174072030190025
18,infiniti,honda,1.466776705603521245979346538
19,infiniti,toyota,1.829034995756577305176975688
20,infiniti,nissan,3.243013100436681222707423581
21,infiniti,lexus,3.280232431845335071141522754
22,honda,toyota,2.004951542985467497445997810
23,honda,nissan,2.053304383889146397989802640
24,honda,lexus,1.883602651128331431088684648
25,toyota,nissan,2.243929987122580088199535262
26,toyota,lexus,2.309548694147726937225794642
27,nissan,lexus,1.859792459031788514814293093
